Category,Code,EnglishName,ChineseName,Passive,Source,Armor,Speed,Stamina
Light,SC-37,Legionnaire,军团士兵,Servo-Assisted,Superstore,50,550,125
Light,SC-34,Infiltrator,深入敌阵,Scout,Helldivers Mobilize! P1,70,530,115
Light,SC-30,Trailblazer Scout,开路侦察兵,Scout,Helldivers Mobilize! P7,50,550,125
Light,CE-74,Breaker,破裂者,Engineering Kit,Superstore,50,550,125
Light,FS-38,Eradicator,根除者,Fortified,Superstore,50,550,125
Light,B-08,Light Gunner,轻装枪手,Extra Padding,Superstore,100,550,125
Light,CM-21,Trench Paramedic,战壕护理员,Med-Kit,Superstore,64,536,118
Light,DS-10,Big Game Hunter,巨兽猎手,Desert Stormer,Superstore,50,550,125
Light,CE-67,Titan,泰坦,Engineering Kit,Superstore,79,521,111
Light,EX-00,Prototype X,原型X,Electrical Conduit,Cutting Edge P3,50,550,125
Light,CE-07,Demolition Specialist,爆破专家,Engineering Kit,Democratic Detonation P2,64,536,118
Light,FS-37,Ravager,破坏者,Engineering Kit,Superstore,50,550,125
Light,CW-4,Arctic Ranger,极地游骑兵,Scout,Polar Patriots P3,50,550,125
Light,PH-9,Predator,掠食者,Peak Physique,Viper Commandos P1,50,550,125
Light,I-09,Heatseeker,热力追踪,Inflammable,Freedom's Flame P1,50,550,125
Light,AF-50,Noxious Ranger,毒瘴游骑兵,Advanced Filtration,Chemical Agents P1,50,550,125
Light,UF-16,Inspector,督察员,Unflinching,Truth Enforcers P3,75,550,125
Light,SR-24,Street Scout,街头侦察兵,Siege-Ready,Urban Legends P1,50,550,125
Light,AC-2,Obedient,服从指挥,Acclimated,Helldivers x Killzone,50,550,125
Light,IE-57,Hell-Bent,奋不顾身,Integrated Explosives,Superstore,50,550,125
Light,GS-11,Democracy's Deputy,民主代理人,Gunslinger,Superstore,50,550,125
Light,RE-1861,Parade Commander,阅兵指挥官,Reinforced Epaulettes,Masters of Ceremony P2,50,550,125
Light,BP-32,Jackboot,杰克军靴,Ballistic Padding,Force of Law P2,50,550,125
Light,AD-11,Livewire,生龙活虎,Adreno-Defibrillator,Superstore,50,550,125
Light,RS-20,Constrictor,绞杀者,Rock Solid,Python Commandos,50,550,125
Medium,B-01,Tactical,战术,Extra Padding,Starter Equipment,150,500,100
Medium,TR-7,Ambassador of the Brand,形象大使,Extra Padding,Pre-Order Bonus,150,500,100
Medium,TR-9,Cavalier of Democracy,民主骑兵,Democracy Protects,Pre-Order Bonus,100,500,100
Medium,DP-53,Savior of the Free,自由救星,Democracy Protects,Super Citizen Edition,100,500,100
Medium,TR-117,Alpha Commander,阿尔法指挥官,Med-Kit,Downloadable Content,100,500,100
Medium,SC-15,Drone Master,无人机大师,Engineering Kit,Superstore,100,500,100
Medium,CE-35,Trench Engineer,战壕工程师,Engineering Kit,Helldivers Mobilize! P3,100,500,100
Medium,CM-09,Bonesnapper,碎骨杀手,Med-Kit,Helldivers Mobilize! P4,100,500,100
Medium,DP-40,Hero of the Federation,联邦英雄,Democracy Protects,Helldivers Mobilize! P5,100,500,100
Medium,SA-04,Combat Technician,技术兵,Scout,Helldivers Mobilize! P8,100,500,100
Medium,CM-14,Physician,医师,Med-Kit,Helldivers Mobilize! P9,100,500,100
Medium,DP-11,Champion of the People,人民捍卫者,Democracy Protects,Helldivers Mobilize! P10,100,500,100
Medium,SA-25,Steel Trooper,钢铁士兵,Servo-Assisted,Steeled Veterans P1,100,500,100
Medium,SA-12,Servo Assisted,伺服辅助,Servo-Assisted,Steeled Veterans P2,100,500,100
Medium,B-24,Enforcer,执行者,Fortified,Superstore,129,471,71
Medium,CE-81,Juggernaut,巨人,Engineering Kit,Superstore,100,500,100
Medium,FS-34,Exterminator,灭绝者,Fortified,Superstore,100,500,100
Medium,EX-03,Prototype 3,原型3,Electrical Conduit,Cutting Edge P1,100,500,100
Medium,EX-16,Prototype 16,原型16,Electrical Conduit,Cutting Edge P2,100,500,100
Medium,CE-27,Ground Breaker,裂地者,Engineering Kit,Democratic Detonation P1,100,500,100
Medium,CM-10,Clinician,临床医师,Med-Kit,Superstore,100,500,100
Medium,CW-9,White Wolf,白狼,Extra Padding,Superstore,150,500,100
Medium,PH-56,Jaguar,捷豹,Peak Physique,Superstore,100,500,100
Medium,TR-40,Gold Eagle,金鹰,Extra Padding,Escalation of Freedom,150,500,100
Medium,I-92,Fire Fighter,消防员,Inflammable,Superstore,100,500,100
Medium,I-102,Draconaught,龙行者,Inflammable,Freedom's Flame P2,100,500,100
Medium,AF-91,Field Chemist,实地化学家,Advanced Filtration,Superstore,100,500,100
Medium,AF-02,Haz-Master,危害大师,Advanced Filtration,Chemical Agents P2,100,500,100
Medium,DP-00,Tactical,战术,Democracy Protects,Liberty Day,100,500,100
Medium,UF-84,Doubt Killer,疑虑克星,Unflinching,Superstore,125,500,100
Medium,UF-50,Bloodhound,猎犬,Unflinching,Truth Enforcers P2,125,500,100
Medium,AC-1,Dutiful,恪尽职守,Acclimated,Premium Superstore,100,500,100
Medium,IE-3,Martyr,烈士,Integrated Explosives,Servants of Freedom P1,100,500,100
Medium,IE-12,Righteous,义士,Integrated Explosives,Servants of Freedom P2,100,500,100
Medium,B-22,Model Citizen,模范公民,Democracy Protects,Anniversary Gift,100,500,100
Medium,GS-17,Frontier Marshal,边境元帅,Gunslinger,Borderline Justice P1,100,500,100
Medium,RE-2310,Honorary Guard,荣誉卫队,Reinforced Epaulettes,Masters of Ceremony P1,100,500,100
Medium,BP-20,Correct Officer,思想矫正官,Ballistic Padding,Force of Law P1,100,500,100
Medium,DS-191,Scorpion,天蝎,Desert Stormer,Dust Devils P2,100,500,100
Medium,AD-26,Bleeding Edge,血刃科技,Adreno-Defibrillator,Control Group P1,100,500,100
Medium,A-9,Helljumper,地狱伞兵,Feet First,Halo: ODST P1,100,500,100
Medium,A-35,Recon,侦察者,Feet First,Halo: ODST P2,100,500,100
Heavy,TR-62,Knight,骑士,Servo-Assisted,Pre-Order Bonus,150,450,50
Heavy,FS-05,Marksman,战神射手,Fortified,Helldivers Mobilize! P2,150,450,50
Heavy,FS-23,Battle Master,战斗大师,Fortified,Helldivers Mobilize! P6,150,450,50
Heavy,SA-32,Dynamo,精力充沛,Servo-Assisted,Steeled Veterans P3,150,450,50
Heavy,B-27,Fortified Commando,强化突击兵,Extra Padding,Superstore,200,450,50
Heavy,FS-61,Dreadnought,无畏,Servo-Assisted,Superstore,150,450,50
Heavy,FS-11,Executioner,行刑者,Fortified,Superstore,150,450,50
Heavy,CM-17,Butcher,屠夫,Med-Kit,Superstore,150,450,50
Heavy,FS-55,Devastator,蹂躏者,Fortified,Democratic Detonation P3,150,450,50
Heavy,CE-64,Grenadier,掷弹兵,Engineering Kit,Superstore,150,450,50
Heavy,CW-36,Winter Warrior,冬日战兵,Servo-Assisted,Polar Patriots P1,150,450,50
Heavy,CW-22,Kodiak,科迪亚克,Fortified,Polar Patriots P2,150,450,50
Heavy,CE-101,Guerilla Gorilla,游击猩猩,Engineering Kit,Superstore,150,450,50
Heavy,PH-202,Twigsnapper,折枝,Peak Physique,Viper Commandos P2,150,450,50
Heavy,I-44,Salamander,火蜥,Inflammable,Superstore,150,450,50
Heavy,AF-52,Lockdown,禁锢,Advanced Filtration,Superstore,150,450,50
Heavy,SR-64,Cinderblock,煤渣砖,Siege-Ready,Superstore,150,450,50
Heavy,SR-18,Roadblock,路障,Siege-Ready,Urban Legends P2,150,450,50
Heavy,GS-66,Lawmaker,立法者,Gunslinger,Borderline Justice P2,150,450,50
Heavy,RE-824,Bearer of the Standard,执旗手,Reinforced Epaulettes,Superstore,150,450,50
Heavy,BP-77,Grand Juror,大陪审员,Ballistic Padding,Superstore,150,450,50
Heavy,DS-42,Federation's Blade,联邦之刃,Desert Stormer,Dust Devils P1,150,450,50
Heavy,RS-40,Beast of Prey,掠食凶兽,Rock Solid,Python Commandos,150,450,50
Heavy,AD-49,Apollonian,阿波罗神,Adreno-Defibrillator,Control Group P2,150,450,50
