Group,Subcategory,Code,EnglishName,ChineseName
Primary,Assault Rifle,AR-23,Liberator,解放者
Primary,Assault Rifle,AR-23P,Liberator Penetrator,穿甲解放者
Primary,Assault Rifle,AR-23C,Liberator Concussive,震荡解放者
Primary,Assault Rifle,StA-52,Killzone 2 Assault Rifle,杀戮地带2突击步枪
Primary,Assault Rifle,AR-32,Pacifier Medium,安抚者
Primary,Assault Rifle,AR-2,Coyote Medium,郊狼
Primary,Assault Rifle,MA5C,HELO Assault Rifle,光环突击步枪
Primary,Assault Rifle,AR-23A,Liberator Carbine,解放者卡宾枪
Primary,Assault Rifle,AR-61,Tenderizer,肉锤
Primary,Assault Rifle,BR-14,Adjudicator,审判者
Primary,Assault Rifle,AR/GL-21,One-Two,幺二
Primary,Marksman Rifle,R-2,Amendment,修正
Primary,Marksman Rifle,R-2124,Constitution,宪法
Primary,Marksman Rifle,R-6,Deadeye,鹰眼
Primary,Marksman Rifle,R-63,Diligence,勤勉
Primary,Marksman Rifle,R-63CS,Diligence Counter Sniper,反击狙勤勉
Primary,SMG,MP-98,Knight,骑士
Primary,SMG,StA-11,Killzone 2 SMG,杀戮地带2冲锋枪
Primary,SMG,M7S,HELO SMG,光环冲锋枪
Primary,SMG,SMG-32,Reprimand,训斥
Primary,SMG,SMG-37,Defender,防卫者
Primary,SMG,SMG-72,Pummeler,暴击斗士
Primary,Shotgun,SG-8,Punisher,制裁者
Primary,Shotgun,SG-8S,Slugger,重炮手
Primary,Shotgun,SG-20,Halt,止息
Primary,Shotgun,SG-451,Cookout,野炊
Primary,Shotgun,DBS-2,Double Freedom,双重自由
Primary,Shotgun,M90A,HELO Shotgun,光环霰弹枪
Primary,Shotgun,SG-225,Breaker,破裂者
Primary,Shotgun,SG-225SP,Breaker Spray&Pray,弥漫与祷告的破裂者
Primary,Shotgun,SG-225IE,Breaker Incendiary,高燃破裂者
Primary,Explosive,CB-9,Exploding Crossbow,爆燃弩
Primary,Explosive,R-36,Eruptor,爆裂铳
Primary,Energy,SG-8P,Punisher Plasma,等离子制裁者
Primary,Energy,PLAS-39,Killzone 2 Accelerator Rifle,杀戮地带2加速步枪
Primary,Energy,ARC-12,Blitzer,雷霆
Primary,Energy,LAS-5,Scythe,长柄镰
Primary,Energy,LAS-16,Sickle,镰刀
Primary,Energy,LAS-17,Double-Edge Sickle,双刃镰刀
Primary,Energy,PLAS-1,Scorcher,焦土
Primary,Energy,PLAS-101,Purifier,净化者
Primary,Special,VG-70,Variable,变数
Primary,Special,FLAM-66,Torcher,火炬手
Primary,Special,JAR-5,Dominator,主宰
Secondary,Pistol,P-92,Warrant,法令
Secondary,Pistol,P-2,Peacemaker,和平制造者
Secondary,Pistol,P-19,Redeemer,救世主
Secondary,Pistol,P-113,Verdict,裁决
Secondary,Pistol,M6C/SOCOM,HELO Pistol,光环手枪
Secondary,Pistol,P-4,Senator,参议员
Secondary,Melee,CQC-19,Stun Lance,眩晕长矛
Secondary,Melee,CQC-2,Saber,军刀
Secondary,Melee,CQC-30,Stun Baton,眩晕短棍
Secondary,Melee,CQC-5,Combat Hatchet,战斗短柄斧
Secondary,Melee,CQC-42,Machete,砍刀
Secondary,Special,P-11,Stim Pistol,治疗剂手枪
Secondary,Special,SG-22,Bushwhacker,游击兵
Secondary,Special,LAS-58,Talon,猛爪
Secondary,Special,P-72,Crisper,迅击
Secondary,Special,GP-31,Grenade Pistol,榴弹手枪
Secondary,Special,LAS-7,Dagger,匕首
Secondary,Special,GP-20,Ultimatum,最后通牒
Secondary,Special,PLAS-15,Loyalist,忠诚者
Throwable,Standard,TED-63,Dynamite,炸药
Throwable,Standard,G-6,Frag,破片弹
Throwable,Standard,G-12,High Explosive,高爆弹
Throwable,Standard,G-10,Incendiary,燃烧弹
Throwable,Standard,G-7,Pineapple,菠萝
Throwable,Special,G-16,Impact,冲击弹
Throwable,Special,G-13,Incendiary Impact,燃烧冲击弹
Throwable,Special,G-23,Stun,眩晕弹
Throwable,Special,G-4,Gas,毒气榴弹
Throwable,Special,G-50,Seeker,寻踪者
Throwable,Special,G-3,Smoke,烟雾弹
Throwable,Special,G-123,Thermite,铝热剂
Throwable,Special,K-2,Throwing Knife,飞刀
Throwable,Special,G-142,Pyrotech,烟花术
Throwable,Special,G-109,Urchin,海胆
Throwable,Special,G-31,Arc,电弧
